Company ISIN,2024
CNE1000010N2,5.0
US88579Y1010,4.5
GB00B1YW4409,4.25
US0378331005,3.0
KYG2953R1149,3.8
INE117A01022,3.851
CH0012221716,3.851
NL0011540547,4.263
CNE100004ZD8,
AEA006101017,2.667
SA55SG6H5716,3.0
AEA007301012,3.922
AEE01195A234,3.922
JP3388200002,3.304
JP3112000009,3.384
HK0000069689,3.579
IE00BF0L3536,3.537
TH0268010Z03,2.923
JP3102000001,3.121
FR0010220475,3.687
US0079031078,3.816
US0311001004,3.0
US02665T3068,3.212
KYG040111059,1.0
AU000000ANZ3,3.893
AU000000APA1,3.477
CNE100004C45,2.947
CA00208D4084,4.2
TW0003711008,1.0
JP3118000003,3.75
NL0000334118,3.101
NL0010273215,4.109
TW0002357001,3.422
AU000000ASX7,3.846
US00206R1023,3.046
INE949L01017,2.826
TW0002409000,
FR0000120628,3.834
US00287Y1091,3.676
US0028241000,3.465
ZAE000255915,3.624
AEA000801018,3.238
CNE100000F87,4.0
IE00B4BNMY34,3.54
ES0125220311,3.622
FR0000120404,3.613
TW0002345006,3.286
TW0002353000,3.667
SA15CGS10H12,2.786
INE423A01024,3.0
INE742F01042,3.212
INE814H01011,2.881
SE0014781795,4.0
GB00B02J6398,3.627
US00724F1012,4.1
CNE100003MM9,
TW0002395001,4.0
JP3122400009,3.69
NL0012969182,4.009
BMG0112X1056,3.901
US0010551028,4.333
US00846U1016,4.077
CA0084741085,4.033
CNE100000RJ0,3.611
CNE000001NN0,3.333
US0091581068,3.978
KYG014081064,4.5
US0090661010,4.059
TH0765010Z08,5.0
US6200763075,
JP3119600009,3.303
US00971T1016,4.439
TRAAKBNK91N6,3.438
NO0010345853,4.5
KYG0146B1032,3.5
NL0013267909,3.797
KW0EQ0100010,2.857
SA15GG53GHH3,5.0
SA0007879055,5.0
SA0007879113,3.391
ID1000111305,
CA0115321089,4.75
US0130911037,3.127
KYG022421088,
AEA002001013,2.917
US0152711091,3.75
SE0000695876,3.82
MXP000511016,
ID1000128705,3.542
KYG017191142,2.977
US0162551016,3.261
SA122050HV19,4.143
INE540L01014,3.447
IE00BFRT3W74,3.988
LU2237380790,3.789
US0188021085,3.088
DE0008404005,3.966
US0200021014,3.581
SA000A0ETHT1,3.644
US02043Q1076,3.686
US8716071076,3.0
US02079K3059,3.571
CA0213611001,2.917
KR7196170005,
US02209S1033,4.203
CNE1000000T0,5.0
ES0109067019,4.335
US0231351067,3.159
MYL1015OO006,3.385
BRABEVACNOR1,3.582
INE079A01024,3.318
JE00BJ1F3079,1.0
US0236081024,3.616
US0255371017,3.277
US0258161092,4.124
US0259321042,4.0
US0304201033,3.244
AEE01135A222,2.24
US0311621009,3.774
ID1000191109,4.5
KR7090430000,2.909
US0320951017,4.0
FR0004125920,4.581
MX01AM050019,3.48
US0326541051,3.888
CNE0000014G0,
GB00BTK05J60,4.073
GB00BRXH2664,3.77
BE0974293251,3.024
CNE0000019V8,
CNE1000047B9,3.0
US0357108390,3.75
GB0000456144,4.0
IE00BLP1HW54,3.725
US03769M1062,3.344
INE702C01027,2.143
US03831W1080,2.841
US0382221051,3.642
JE00BTDN8H13,3.196
SA0007879105,2.667
US2538681030,5.0
MX01AC100006,3.243
LU1598757687,3.375
BMG0450A1053,4.169
US03990B1017,3.545
US0404132054,4.178
AU000000ALL7,3.845
FR0010313833,3.947
JP3116000005,3.933
JP3111200006,3.933
INE208A01029,
GB0000536739,
TW0003017000,4.0
INE021A01026,2.52
ZAE000066692,2.94
GB0006731235,3.167
JP3942400007,3.557
ID1000122807,3.828
GB0009895292,3.756
INE006I01046,3.091
MXP001661018,3.0
PHY5764J1483,3.622
SE0017486889,4.008
US0494681010,3.701
US0495601058,3.281
NZAIAE0002S6,2.667
INE406A01037,3.537
US0533321024,2.889
US0527691069,
KYG066341028,3.333
US0530151036,
GB00BVYVFW23,4.415
US0534841012,3.315
US05352A1007,3.378
US0536111091,3.684
CNE1000001Y8,
GB00BPQY8M80,4.161
CH0023405456,2.364
MYL6888OO001,3.238
INE238A01034,3.157
US05464C1018,3.634
PHY0488F1004,3.615
PHY0486V1154,2.722
IL0011194789,3.5
BRB3SAACNOR6,4.135
GB0002634946,3.989
JP3778630008,3.385
DE000BASF111,3.979
GB0002875804,3.475
BRBBSEACNOR5,5.0
ES0113211835,3.698
AU000000BHP4,3.834
CH0130293662,3.429
DE0005190003,3.961
FR0000131104,3.94
SG9999015267,3.25
CNE100003R64,3.364
CNE0000016L5,1.0
IT0000066123,3.426
US9100471096,3.593
BRBRFSACNOR8,3.134
INE118H01025,3.909
GB0030913577,3.889
BRBPACACNOR7,2.599
CNE100001526,2.63
HK0285041858,2.63
INE917I01010,3.352
INE296A01032,2.379
INE918I01026,3.447
US05722G1004,3.548
INE787D01026,
US0584981064,3.849
CH0012410517,4.609
IT0005218380,3.92
BRBBDCACNOR1,3.353
PHY077751022,3.031
ES0113860A34,3.798
CLP0939W1081,4.0
CLP321331116,4.417
TH0264A10Z04,4.5
SA000A0D9HK3,3.571
ID1000109507,4.109
IL0006625771,3.538
IL0006046119,3.765
ID1000095003,2.927
PLBIG0000016,3.0
ID1000096605,3.375
CNE100002G76,3.0
PLPEKAO00016,4.6
ID1000118201,3.614
US0605051046,4.143
INE028A01039,2.6
CNE100000734,2.667
CNE100003F50,
CNE100002SN6,4.0
CNE1000017G1,3.27
CNE000001N05,3.27
CNE1000048J0,3.27
CNE1000000S2,3.209
IE00BD1RP616,3.976
CNE1000005P7,2.0
CNE100003LQ2,
PHY0967S1694,3.5
